,0
2622,125
2623,5
2624,50
2625,104
2626,81
2627,19
2628,38
2629,56
2630,168
2631,14
2632,80
2633,245
2634,2
2635,1
2636,5
2637,241
2638,37
2639,44
2640,42
2641,131
2642,13
2643,204
2644,113
2645,175
2646,166
2647,28
2648,4
2649,145
2650,149
2651,1
2652,163
2653,3
2654,1
2655,28
2656,109
2657,17
2658,38
2659,100
2660,51
2661,73
2662,20
2663,10
2664,3
2665,213
2666,190
2667,4
2668,164
2669,7
2670,106
2671,21
2672,141
2673,52
2674,189
2675,45
2676,174
2677,180
2678,11
2679,3
2680,88
2681,29
2682,157
2683,1
2684,572
2685,2
2686,117
2687,301
2688,178
2689,607
2690,19
2691,18
2692,9
2693,887
2694,5
2695,1
2696,137
2697,61
2698,15
2699,4
2700,66
2701,89
2702,4
2703,8
2704,12
2705,300
2706,83
2707,21
2708,15
2709,217
2710,112
2711,45
2712,3
2713,90
2714,13
2715,1
2716,321
2717,3
2718,341
2719,9
2720,17
2721,1
2722,2
2723,5
2724,1
2725,4
2726,4
2727,11
2728,2
2729,1
2730,30
2731,212
2732,6
2733,3
2734,250
2735,1
2736,1
2737,1
2738,113
2739,49
2740,5
2741,10
2742,23
2743,1
2744,11
2745,1
2746,3
2747,220
2748,3
2749,1
2750,1
2751,104
2752,118
2753,3
2754,7
2755,1
2756,1
2757,11
2758,15
2759,5
2760,2
2761,24
2762,42
2763,8
2764,2
2765,5
2766,104
2767,1
2768,55
2769,6
2770,369
2771,49
2772,14
2773,16
2774,14
2775,1
2776,6
2777,3
2778,19
2779,4
2780,2
2781,1
2782,4
2783,1
2784,1
2785,25
2786,1
2787,1
2788,3
2789,45
2790,4
2791,45
2792,1
2793,29
2794,6
2795,6
2796,7
2797,2
2798,1
2799,5
2800,4
2801,24
2802,192
2803,3
2804,82
2805,90
2806,27
2807,1
2808,114
2809,1
2810,59
2811,10
2812,11
2813,33
2814,17
2815,1
2816,199
2817,11
2818,68
2819,173
2820,1
2821,13
2822,421
2823,14
2824,54
2825,81
2826,196
2827,58
2828,225
2829,125
2830,270
2831,178
2832,5
2833,13
2834,151
2835,320
2836,46
2837,306
2838,90
2839,885
2840,77
2841,4
2842,81
2843,31
2844,57
2845,424
2846,197
2847,105
2848,181
2849,7
2850,45
2851,243
2852,7
2853,73
2854,228
2855,112
2856,72
2857,96
2858,1
2859,95
2860,5
2861,45
2862,135
2863,60
2864,302
2865,7
2866,7
2867,41
2868,22
2869,136
2870,140
2871,2
2872,249
2873,118
2874,78
2875,1
2876,28
2877,3
2878,330
2879,67
2880,33
2881,17
2882,45
2883,66
2884,362
2885,9
2886,3
2887,39
2888,31
2889,762
2890,23
2891,126
2892,3
2893,1
2894,2
2895,23
2896,53
2897,83
2898,136
2899,4
2900,5
2901,24
2902,8
2903,12
2904,251
2905,17
2906,270
2907,148
2908,159
2909,1
2910,572
2911,72
2912,91
2913,266
2914,134
2915,65
2916,31
2917,32
2918,38
2919,205
2920,175
2921,28
2922,26
2923,1
2924,2
2925,28
2926,72
